,h1_nodes,h2_nodes,hidden_func_1,hidden_func_2,output_func,loss,accuracy,Loss
70,36,24,relu,relu,sigmoid,,0.6956267952919006,0.6444781422615051
71,36,24,relu,relu,sigmoid,,0.47848397493362427,0.9176796674728394
72,36,24,relu,relu,sigmoid,,0.5393586158752441,0.724784255027771
73,36,24,relu,relu,sigmoid,,0.619475245475769,0.6406513452529907
74,36,24,relu,relu,sigmoid,,0.639533519744873,0.7790815234184265
75,36,24,relu,relu,sigmoid,,0.6962099075317383,1.2422703504562378
76,36,24,relu,relu,sigmoid,,0.5530028939247131,0.9692248702049255
77,36,24,relu,relu,sigmoid,,0.6946938633918762,0.6274474859237671
78,36,24,relu,relu,sigmoid,,0.6363848447799683,0.6414141058921814
79,36,24,relu,relu,sigmoid,,0.5828571319580078,0.9579781889915466
80,36,36,relu,relu,sigmoid,,0.6644898056983948,0.7400090098381042
81,36,36,relu,relu,sigmoid,,0.6347522139549255,0.6866434216499329
82,36,36,relu,relu,sigmoid,,0.6562098860740662,0.6822909712791443
83,36,36,relu,relu,sigmoid,,0.691895067691803,0.8729289174079895
84,36,36,relu,relu,sigmoid,,0.6780174970626831,0.7022497057914734
85,36,36,relu,relu,sigmoid,,0.5475218892097473,0.8580108880996704
86,36,36,relu,relu,sigmoid,,0.5499708652496338,0.8635854721069336
87,36,36,relu,relu,sigmoid,,0.6461807489395142,0.6415058374404907
88,36,36,relu,relu,sigmoid,,0.5342274308204651,1.1757432222366333
89,36,36,relu,relu,sigmoid,,0.4789504408836365,0.8872523903846741
